playername,points
Jordy Mercer,7.01
Francisco Cervelli,8.12
Starling Marte,10.09
Jedd Gyorko,7.81
Leonys Martin,9.55
Chris Davis,8.06
Victor Martinez,9.53
Paul DeJong,9.6
Yadier Molina,8.07
Corey Dickerson,10.61
Josh Bell,10.8
Colin Moran,8.26
Tommy Pham,11.21
Marcell Ozuna,9.99
Jose Martinez,10.18
Jeimer Candelario,9.81
Miguel Cabrera,10.14
Luis Sardinas,7.49
Craig Gentry,8.68
Trey Mancini,10.77
Caleb Joseph,8.4
Anthony Santander,7.54
Matt Olson,9.03
Matt Joyce,8.9
JaCoby Jones,8.23
Danny Valencia,10.73
James McCann,7.8
Nick Castellanos,11.49
Jose Iglesias,7.14
Dixon Machado,7.6
Adam Jones,9.42
Manny Machado,13.1
Gregory Polanco,10.17
Adam Frazier,9.09
Rajai Davis,8.24
Yan Gomes,8.05
Edwin Encarnacion,10.99
Ender Inciarte,9.8
Ozzie Albies,11.12
Nick Markakis,8.74
Freddie Freeman,12.52
Ryon Healy,6.1
Mike Zunino,6.25
Yonder Alonso,10.24
Michael Brantley,10.66
Bradley Zimmer,8.46
Jean Segura,7.8
Mitch Haniger,7.38
Nelson Cruz,8.33
Ryan Flaherty,7.16
Cesar Hernandez,10.08
Nick Williams,8.3
Ronald Acuna,8.65
Jorge Alfaro,8.41
Scott Kingery,8.06
Matt Carpenter,11.15
Kolten Wong,8
Dexter Fowler,9.89
Aaron Altherr,9.87
Maikel Franco,9.17
Odubel Herrera,10.17
Carlos Santana,12.16
J.P. Crawford,8.01
Kurt Suzuki,8.45
Rhys Hoskins,13.12
Dansby Swanson,7.68
Josh Reddick,10.79
Marwin Gonzalez,9.24
Jay Bruce,8.7
Austin Hedges,7.48
Jose Pirela,10.07
Eric Hosmer,8.6
Franchy Cordero,8
Brett Gardner,10.1
Tomas Nido,6.91
Christian Villanueva,10.42
Manuel Margot,10.61
Wil Myers,10.75
Todd Frazier,10.28
Freddy Galvis,6.86
Juan Lagares,7.92
Amed Rosario,7.98
Jose Lobaton,6.28
Didi Gregorius,11.04
Aaron Hicks,8.18
Martin Maldonado,7.37
Zack Cozart,8.62
Andrelton Simmons,8.32
Miguel Andujar,8.05
Gleyber Torres,7.57
Shohei Ohtani,8.75
Neil Walker,7.78
Albert Pujols,8.67
Justin Upton,9.69
Aaron Judge,11.11
Kole Calhoun,7.36
Giancarlo Stanton,12.21
Gary Sanchez,10.46
Mike Trout,13.08
Ian Kinsler,9.27
Yoenis Cespedes,12.01
Wilmer Flores,9.6
Carlos Correa,12.61
Jose Altuve,13
George Springer,12.87
Yulieski Gurriel,10.18
Alex Bregman,9.81
Evan Gattis,8.08
Jed Lowrie,7.77
Jonathan Lucroy,6.73
Stephen Piscotty,7.16
Derek Fisher,7.43
Brian McCann,8.73
Marcus Semien,8.32
Khris Davis,8.11
Mark Canha,6.62
Matt Chapman,7.38
DJ LeMahieu,9.09
Nolan Arenado,13.42
Gerardo Parra,7.04
Charlie Blackmon,9.17
Lewis Brinson,8.15
Derek Dietrich,9.48
Justin Bour,9.91
Asdrubal Cabrera,9.78
David Dahl,6.86
Brian Anderson,8.02
Miguel Rojas,6.49
Chris Iannetta,8.2
Trevor Story,11.85
Ian Desmond,9.19
J.T. Realmuto,9.04
Cameron Maybin,8.53
Starlin Castro,8.43
Jose Ramirez,12.07
Jason Kipnis,11.29
Christian Yelich,8.76
Orlando Arcia,7.28
Manny Pina,7.54
Anthony Rizzo,10.91
Kyle Schwarber,10.76
Domingo Santana,9.52
Jason Heyward,8.06
Willson Contreras,8.61
Kris Bryant,10.29
Lorenzo Cain,10.73
Drew Butera,6.43
Ryan Braun,10.81
Hernan Perez,8.82
Javier Baez,9.22
Albert Almora,8.62
Jonathan Villar,7.2
Ben Zobrist,8.56
Cody Bellinger,10.87
Yasmani Grandal,8.69
Corey Seager,9.5
Chase Utley,7.72
Gregor Blanco,8.71
Brandon Belt,9.53
Joe Panik,9.22
Mac Williamson,7.6
Kyle Farmer,6.19
Matt Kemp,8.46
Christopher Taylor,10.28
Yasiel Puig,8.6
Andrew McCutchen,9.74
Evan Longoria,8.74
Buster Posey,9.34
Daniel Palka,7.76
Nick Delmonico,9.48
Eduardo Escobar,9.6
Logan Morrison,9.54
Eddie Rosario,9.51
Max Kepler,9.65
Robbie Grossman,8.14
Devin Mesoraco,7.1
Jesse Winker,9.07
Joe Mauer,8.25
Billy Hamilton,8.25
Eugenio Suarez,10.05
Adam Duvall,9.61
Brian Dozier,11.85
Joey Votto,12.21
Scott Schebler,8.53
Scooter Gennett,9.78
Mitch Garver,6.88
