Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Antonio Brown,9300,Pit@Bal 01:00PM ET,26.029,Pit
WR,Odell Beckham Jr.,9200,NYG@Min 08:30PM ET,23.779,NYG
WR,DeAndre Hopkins,8400,Hou@Ten 01:00PM ET,21.821,Hou
WR,Julio Jones,8300,Car@Atl 01:00PM ET,24.314,Atl
WR,Brandon Marshall,7600,NE@NYJ 01:00PM ET,21.936,NYJ
TE,Rob Gronkowski,7600,NE@NYJ 01:00PM ET,19.554,NE
QB,Tom Brady,7500,NE@NYJ 01:00PM ET,25.521,NE
QB,Cam Newton,7500,Car@Atl 01:00PM ET,26.220,Car
WR,Allen Robinson,7500,Jax@NO 04:05PM ET,19.507,Jax
WR,Calvin Johnson,7400,SF@Det 01:00PM ET,15.429,Det
RB,Devonta Freeman,7400,Car@Atl 01:00PM ET,22.769,Atl
RB,Adrian Peterson,7300,NYG@Min 08:30PM ET,17.786,Min
WR,Mike Evans,7300,Chi@TB 01:00PM ET,15.585,TB
QB,Russell Wilson,7200,StL@Sea 04:25PM ET,21.980,Sea
WR,Alshon Jeffery,7200,Chi@TB 01:00PM ET,18.967,Chi
WR,Larry Fitzgerald,7100,GB@Ari 04:25PM ET,18.650,Ari
WR,A.J. Green,7100,Cin@Den 08:30PM ET,18.329,Cin
QB,Carson Palmer,7000,GB@Ari 04:25PM ET,23.106,Ari
QB,Aaron Rodgers,7000,GB@Ari 04:25PM ET,21.176,GB
TE,Greg Olsen,7000,Car@Atl 01:00PM ET,16.129,Car
WR,Julian Edelman,7000,NE@NYJ 01:00PM ET,19.611,NE
QB,Drew Brees,6800,Jax@NO 04:05PM ET,22.815,NO
QB,Ben Roethlisberger,6800,Pit@Bal 01:00PM ET,23.286,Pit
WR,Demaryius Thomas,6800,Cin@Den 08:30PM ET,17.343,Den
WR,Doug Baldwin,6700,StL@Sea 04:25PM ET,17.107,Sea
WR,Sammy Watkins,6700,Dal@Buf 01:00PM ET,17.527,Buf
RB,Doug Martin,6600,Chi@TB 01:00PM ET,15.786,TB
RB,LeSean McCoy,6600,Dal@Buf 01:00PM ET,15.808,Buf
RB,DeAngelo Williams,6500,Pit@Bal 01:00PM ET,14.714,Pit
RB,Matt Forte,6500,Chi@TB 01:00PM ET,17.091,Chi
RB,Marshawn Lynch,6500,StL@Sea 04:25PM ET,12.243,Sea
WR,Eric Decker,6500,NE@NYJ 01:00PM ET,17.462,NYJ
QB,Andrew Luck,6500,Ind@Mia 01:00PM ET,21.406,Ind
QB,Blake Bortles,6500,Jax@NO 04:05PM ET,22.596,Jax
RB,Lamar Miller,6400,Ind@Mia 01:00PM ET,15.493,Mia
WR,Jarvis Landry,6400,Ind@Mia 01:00PM ET,17.819,Mia
RB,Todd Gurley,6200,StL@Sea 04:25PM ET,17.367,StL
