"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9200,"Was@Atl 01:00PM ET",29.700,"Atl"
"WR","Odell Beckham Jr.",9000,"SF@NYG 08:30PM ET",17.425,"NYG"
"WR","Antonio Brown",8700,"Pit@SD 08:30PM ET",26.200,"Pit"
"RB","Le'Veon Bell",8500,"Pit@SD 08:30PM ET",28.600,"Pit"
"WR","Dez Bryant",8200,"NE@Dal 04:25PM ET",9.800,"Dal"
"WR","Demaryius Thomas",8100,"Den@Oak 04:25PM ET",19.275,"Den"
"QB","Aaron Rodgers",7900,"StL@GB 01:00PM ET",24.875,"GB"
"QB","Tom Brady",7800,"NE@Dal 04:25PM ET",28.527,"NE"
"RB","Jamaal Charles",7800,"Chi@KC 01:00PM ET",24.175,"KC"
"WR","A.J. Green",7700,"Sea@Cin 01:00PM ET",21.925,"Cin"
"TE","Rob Gronkowski",7500,"NE@Dal 04:25PM ET",25.600,"NE"
"WR","Randall Cobb",7500,"StL@GB 01:00PM ET",20.525,"GB"
"WR","Calvin Johnson",7400,"Ari@Det 04:05PM ET",14.375,"Det"
"WR","Emmanuel Sanders",7400,"Den@Oak 04:25PM ET",16.925,"Den"
"QB","Drew Brees",7200,"NO@Phi 01:00PM ET",19.653,"NO"
"QB","Ben Roethlisberger",7200,"Pit@SD 08:30PM ET",20.793,"Pit"
"WR","Keenan Allen",7200,"Pit@SD 08:30PM ET",23.675,"SD"
"RB","Marshawn Lynch",7100,"Sea@Cin 01:00PM ET",9.967,"Sea"
"QB","Peyton Manning",7000,"Den@Oak 04:25PM ET",15.080,"Den"
"RB","Matt Forte",7000,"Chi@KC 01:00PM ET",17.750,"Chi"
"WR","Julian Edelman",7000,"NE@Dal 04:25PM ET",24.000,"NE"
"QB","Russell Wilson",6900,"Sea@Cin 01:00PM ET",18.215,"Sea"
"QB","Eli Manning",6800,"SF@NYG 08:30PM ET",16.985,"NYG"
"WR","Larry Fitzgerald",6800,"Ari@Det 04:05PM ET",27.050,"Ari"
"QB","Matt Ryan",6700,"Was@Atl 01:00PM ET",19.320,"Atl"
"RB","Eddie Lacy",6700,"StL@GB 01:00PM ET",10.200,"GB"
"QB","Carson Palmer",6600,"Ari@Det 04:05PM ET",23.350,"Ari"
"WR","Amari Cooper",6600,"Den@Oak 04:25PM ET",18.725,"Oak"
"WR","Alshon Jeffery",6500,"Chi@KC 01:00PM ET",12.800,"Chi"
"WR","Jordan Matthews",6400,"NO@Phi 01:00PM ET",15.525,"Phi"
"RB","Latavius Murray",6300,"Den@Oak 04:25PM ET",16.675,"Oak"
"RB","Devonta Freeman",6300,"Was@Atl 01:00PM ET",26.700,"Atl"
"WR","Steve Smith Sr.",6200,"Cle@Bal 01:00PM ET",21.075,"Bal"
"QB","Philip Rivers",6200,"Pit@SD 08:30PM ET",20.530,"SD"
