playername,points,cost,ppd
Seahawks D/ST D/ST,117.9,4300,2741.860465116279
Broncos D/ST D/ST,141.5,3400,4161.764705882353
Panthers D/ST D/ST,122.6,3700,3313.5135135135133
Bengals D/ST D/ST,123.1,3600,3419.4444444444443
Texans D/ST D/ST,113.1,2800,4039.285714285714
Chiefs D/ST D/ST,111.7,4200,2659.5238095238096
Cardinals D/ST D/ST,120.3,3300,3645.4545454545455
Packers D/ST D/ST,121,2500,4840.0
Patriots D/ST D/ST,92.3,3200,2884.375
Vikings D/ST D/ST,96.1,2500,3843.9999999999995
Jets D/ST D/ST,116.2,2800,4150.0
Bills D/ST D/ST,114.7,3200,3584.375
Rams D/ST D/ST,112,2700,4148.148148148148
Colts D/ST D/ST,88.4,2300,3843.478260869566
Jaguars D/ST D/ST,92.3,2200,4195.454545454545
Ravens D/ST D/ST,102.4,2000,5120.0
Steelers D/ST D/ST,91.6,3100,2954.838709677419
Buccaneers D/ST D/ST,103,2500,4120.0
Bears D/ST D/ST,87.7,2200,3986.3636363636365
Lions D/ST D/ST,95.6,2800,3414.285714285714
Giants D/ST D/ST,88.6,2200,4027.2727272727275
Titans D/ST D/ST,81.9,2000,4095.0
Falcons D/ST D/ST,90.6,2200,4118.181818181818
Dolphins D/ST D/ST,81.5,2700,3018.5185185185187
49ers D/ST D/ST,76.4,2300,3321.739130434783
Cowboys D/ST D/ST,72,2000,3599.9999999999995
Browns D/ST D/ST,71.2,2200,3236.3636363636365
Saints D/ST D/ST,55.6,2100,2647.6190476190477
Aaron Rodgers GB ,21.3,7000,304.28571428571433
Drew Brees NO ,20.3,6800,298.5294117647059
Andrew Luck IND ,20.2,6500,310.7692307692307
Russell Wilson SEA ,20.2,7200,280.55555555555554
Ben Roethlisberger PIT ,18.9,6800,277.94117647058823
Cam Newton CAR ,17.6,7500,234.6666666666667
Matt Ryan ATL ,17.4,5200,334.6153846153846
Eli Manning NYG ,17.2,5600,307.1428571428571
Matthew Stafford DET ,17.2,6100,281.9672131147541
Carson Palmer ARI ,17.2,7000,245.7142857142857
Jameis Winston TB ,16.9,5500,307.27272727272725
Blake Bortles JAC ,16.8,6500,258.4615384615385
Tyrod Taylor BUF ,16.6,5500,301.8181818181818
Andy Dalton CIN ,16.3,6100,267.21311475409834
Alex Smith KC ,16.2,5100,317.6470588235294
Marcus Mariota TEN ,15.9,5400,294.44444444444446
Brock Osweiler HOU ,15.3,5100,300.0
Ryan Fitzpatrick NYJ ,15.1,5200,290.3846153846154
Jay Cutler CHI ,14.3,5200,275.0
Ryan Tannehill MIA ,14.0,5100,274.5098039215686
Jimmy Garoppolo NE ,12.8,5000,256.0
Blaine Gabbert SF ,12.3,5000,246.0
Shaun Hill MIN ,11.5,5000,230.0
Trevor Siemian DEN ,10.4,5000,208.00000000000003
Case Keenum LA ,8.1,5100,158.8235294117647
Brandon Weeden HOU ,1.1,5100,21.568627450980394
Matt Flynn ,0.8,5000,16.0
Geno Smith NYJ ,0.7,5000,13.999999999999998
Mike Glennon TB ,0.6,5000,11.999999999999998
Landry Jones PIT ,0.5,5000,10.0
Chad Henne JAC ,0.5,5000,10.0
Ryan Mallett BAL ,0.5,5000,10.0
Derek Anderson CAR ,0.5,5000,10.0
Dan Orlovsky DET ,0.4,5000,8.0
Brian Hoyer CHI ,0.4,5200,7.6923076923076925
AJ McCarron CIN ,0.4,5100,7.843137254901961
Matt Schaub ATL ,0.3,5000,5.999999999999999
Scott Tolzien IND ,0.3,5000,5.999999999999999
Drew Stanton ARI ,0.3,5000,5.999999999999999
Taylor Heinicke MIN ,0.3,5000,5.999999999999999
