playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","120.3745","243.6306","null","2","1","1","null","7.4639","3.5817","2.5817","50.35","270.8872","205.3614","9.3886","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","113.8688","237.1249","null","3","2","2","null","4.4746","4.0967","2.0967","50.65","256.4744","216.3554","6.1805","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","111.9524","235.2085","null","4","3","3","null","6.378","3.6183","0.6183","50.9","242.6997","215.5829","7.5567","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","106.836","230.0921","null","1","4","4","null","7.9263","3.8033","-0.1967","50.85","247.0073","211.3776","4.9138","null",
"2495663","null","Marshawn Lynch","RB","SEA","RB","SEA","104.3128","227.5689","null","5","5","5","null","11.7178","6.2567","1.2567","49.125","237.0451","215.3745","4.1295","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","100.6031","222.6784","null","6","6","1","null","12.009","7.5483","1.5483","49.2","238.6407","206.1091","5.3928","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","93.5067","216.7628","null","9","7","6","null","6.6824","13.6167","6.6167","39.55","236.515","192.4444","5.549","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","91.6833","214.9394","null","14","8","7","null","9.7307","11.59","3.59","44.025","226.1329","194.6628","5.5273","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","91.3967","213.472","null","10","9","2","null","6.0416","13.4483","4.4483","41.825","223.3027","193.2769","5.6278","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","85.7916","207.8669","null","7","10","3","null","2.9456","11.1883","1.1883","45.375","219.8604","187.0977","5.477","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","84.9186","206.994","null","12","11","4","null","4.8753","14.0383","3.0383","43.575","228.4155","171.8428","8.9987","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","81.9653","205.2214","null","18","12","8","null","2.2884","13.9933","1.9933","42.025","216.1025","186.2815","3.9474","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","81.9399","205.196","null","16","13","9","null","12.537","14.5517","1.5517","41.6","222.9863","191.1749","6.0514","null",
"2495647","null","Calvin Johnson","WR","DET","WR","DET","80.7732","202.8486","null","13","14","5","null","3.1748","16.8117","2.8117","39.375","223.1765","182.3496","7.408","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","79.3134","201.3888","null","11","15","6","null","12.2701","15.535","0.535","39.8","226.7104","180.6242","8.3533","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","77.4139","200.67","null","15","16","10","null","20.4814","16.05","0.05","37.45","216.0977","184.1379","4.4587","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","75.8833","197.9587","null","17","17","7","null","18.0773","19.3933","2.3933","37.475","214.9264","171.8747","7.3639","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","74.5606","326.2549","null","23","18","1","null","16.5426","12.5467","-5.4533","40.45","344.1337","299.1335","4.8996","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","73.7111","176.6665","null","8","19","1","null","45.9339","13.55","-5.45","45.95","205.1132","141.1715","7.0191","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","70.785","322.4792","null","21","20","2","null","32.2706","12.91","-7.09","40","335.5451","297.4228","4.6014","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","61.3918","184.6479","null","20","21","11","null","10.509","29","8","25.9","198.3788","167.8203","4.5501","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","58.2034","180.2787","null","19","22","8","null","1.3148","22.265","0.265","35.55","188.853","160.0897","7.7569","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","57.4088","179.4841","null","24","23","9","null","3.0305","24.6767","1.6767","33.05","189.1274","168.6155","5.9565","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","56.3684","178.4437","null","22","24","10","null","7.2344","26.21","2.21","32.725","197.1634","160.4324","5.6597","null",
"2533034","null","Lamar Miller","RB","MIA","RB","MIA","52.4732","175.7293","null","27","25","12","null","3.7286","34.9083","9.9083","24.425","187.6622","149.172","4.0513","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","52.3881","174.4634","null","25","26","11","null","9.3172","28.9217","2.9217","30.85","190.5202","161.8267","5.4893","null",
"2533457","null","Alfred Morris","RB","WAS","RB","WAS","49.2924","172.5485","null","31","27","13","null","1.7383","35.07","8.07","26.125","183.4108","153.4348","4.2543","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","48.1968","171.4529","null","39","28","14","null","1.3668","40.4583","12.4583","23.425","191.0398","148.4908","5.7699","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","46.9114","170.1675","null","29","29","15","null","0.8303","34.695","5.695","26.875","193.3143","123.5954","5.2009","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","46.7486","170.0047","null","32","30","16","null","5.1307","33.7933","3.7933","26.325","182.2425","151.8939","4.2891","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","45.8798","167.9552","null","28","31","12","null","8.3449","28.1567","-2.8433","30.975","184.9455","147.8306","6.0705","null",
"2495488","null","J.J. Watt","DL","HOU","DL","HOU","45.7563","127.3062","null","null","32","1","null","39.1753","44","12","19.4","132.3305","121.4053","2.9863","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","45.4137","168.6698","null","26","33","17","null","7.7019","35.94","2.94","21.325","187.9863","143.6906","3.7517","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","45.2511","296.9454","null","41","34","3","null","17.5831","33.895","-0.105","24.275","311.0421","282.4452","3.9521","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","40.262","162.3373","null","34","35","13","null","5.4747","34.96","-0.04","25.875","180.7301","143.3195","6.4553","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","38.1127","141.068","null","33","36","2","null","22.2716","29.5067","-6.4933","27.525","159.7535","119.708","6.3937","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","37.822","161.0781","null","38","37","18","null","4.603","45.2417","8.2417","16.35","169.9883","137.4036","5.7482","null",
"2539217","null","Andre Ellington","RB","ARI","RB","ARI","37.6017","160.8578","null","43","38","19","null","9.3725","52.83","14.83","13.275","191.9151","140.143","8.0313","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","34.8079","156.8833","null","36","39","14","null","1.0589","42.8317","3.8317","18.925","177.6519","127.5803","4.6528","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","34.7666","156.8419","null","30","40","15","null","5.796","38.0217","-1.9783","24.825","177.0663","124.189","6.8658","null",
"2532828","null","Lavonte David","LB","TB","LB","TB","33.5946","158.3536","null","null","41","1","null","5.3322","74.95","33.95","7.8","165.8243","148.5904","5.7481","null",
"2543498","null","Brandin Cooks","WR","NO","WR","NO","32.7315","154.8068","null","35","42","16","null","10.5479","38.8033","-3.1967","21.025","170.2761","133.4167","4.9787","null",
"2533056","null","Luke Kuechly","LB","CAR","LB","CAR","32.0646","156.8236","null","null","43","2","null","10.2267","54.7","11.7","10.75","160.4897","151.75","6.2298","null",
"2501863","null","Peyton Manning","QB","DEN","QB","DEN","31.7776","283.4718","null","42","44","4","null","9.8399","34.4133","-9.5867","21.275","299.3404","269.7175","2.9509","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","28.8362","152.0923","null","37","45","20","null","3.0406","53.2967","8.2967","18.025","167.4845","123.927","6.5166","null",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","27.6221","150.8782","null","44","46","21","null","5.3034","64.828","18.828","12.625","162.4507","129.7766","6.6556","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","25.2097","147.285","null","51","47","17","null","6.7697","55.1233","8.1233","14.125","162.8901","126.3663","5.8233","null",
"2495712","null","Paul Posluszny","LB","JAC","LB","JAC","24.4602","149.2192","null","null","48","3","null","7.0731","109.35","61.35","4.15","151.7613","145.3784","6.3125","null",
"2540171","null","Joseph Randle","RB","DAL","RB","DAL","23.9691","147.2252","null","47","49","22","null","5.7688","52.2433","3.2433","9.825","163.2211","109.528","4.8766","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","23.5584","275.2526","null","52","50","5","null","6.0742","44.7483","-5.2517","18.25","297.2179","240.3662","2.9429","null",
"497145","null","Joique Bell","RB","DET","RB","DET","20.6684","143.9245","null","75","51","23","null","8.7187","68.92","17.92","10.7","157.3485","119.8903","5.69","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","20.3169","272.0112","null","65","52","6","null","6.0437","66.3983","14.3983","11.575","296.2865","254.084","6.9344","null",
"2508088","null","NaVorro Bowman","LB","SF","LB","SF","19.2155","143.9745","null","null","53","4","null","3.8388","100.115","47.115","5.1","145.1576","142.2","5.8714","null",
"497326","null","Golden Tate","WR","DET","WR","DET","19.1576","141.2329","null","53","54","18","null","1.8351","59.2983","5.2983","11.75","160.4074","123.5906","4.0283","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","17.7224","139.7978","null","54","55","19","null","1.0847","52.8883","-2.1117","15.65","144.7644","127.0845","7.0402","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","17.4418","120.3971","null","48","56","3","null","6.0583","53.9167","-2.0833","12.15","135.4846","92.3018","4.7129","null",
"2543457","null","Sammy Watkins","WR","BUF","WR","BUF","16.9226","138.9979","null","56","57","20","null","0.7719","54.4983","-2.5017","16.675","150.5091","121.1644","7.0808","null",
"2540154","null","Keenan Allen","WR","SD","WR","SD","16.3529","138.4283","null","45","58","21","null","1.4102","59.8967","1.8967","13.05","150.984","117.0377","7.2417","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","15.9485","138.0238","null","null","59","22","null","2.2904","35.4317","-23.5683","27.725","165.1849","-1.74","15.4486","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","15.7322","138.9883","null","57","60","24","null","7.9335","74.94","14.94","8.825","151.308","101.6418","4.474","13",
