P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Clayton Kershaw (10577064),Clayton Kershaw,10577064,P,12800,WAS@LAD 04/21/2018 09:10PM ET,LAD,18.51
,,,,,,,,,,,SP,Max Scherzer (10577065),Max Scherzer,10577065,P,12400,WAS@LAD 04/21/2018 09:10PM ET,WAS,32.61
,,,,,,,,,,,SP,Gerrit Cole (10577066),Gerrit Cole,10577066,P,12300,HOU@CWS 04/21/2018 07:10PM ET,HOU,33.45
,,,,,,,,,,,SP,Robbie Ray (10577067),Robbie Ray,10577067,P,12000,SD@ARI 04/21/2018 08:10PM ET,ARI,19.09
,,,,,,,,,,,SP,Chris Sale (10576551),Chris Sale,10576551,P,12000,BOS@OAK 04/21/2018 09:05PM ET,BOS,24.22
,,,,,,,,,,,SP,Justin Verlander (10577068),Justin Verlander,10577068,P,11700,HOU@CWS 04/21/2018 07:10PM ET,HOU,27.86
,,,,,,,,,,,SP,Charlie Morton (10577069),Charlie Morton,10577069,P,11600,HOU@CWS 04/21/2018 07:10PM ET,HOU,28.96
,,,,,,,,,,,SP,Alex Wood (10577070),Alex Wood,10577070,P,11400,WAS@LAD 04/21/2018 09:10PM ET,LAD,16.39
,,,,,,,,,,,SP,Jacob deGrom (10576552),Jacob deGrom,10576552,P,10900,NYM@ATL 04/21/2018 07:10PM ET,NYM,22.36
,,,,,,,,,,,SP,Zack Greinke (10577071),Zack Greinke,10577071,P,10600,SD@ARI 04/21/2018 08:10PM ET,ARI,17.75
,,,,,,,,,,,SP,Noah Syndergaard (10577072),Noah Syndergaard,10577072,P,10500,NYM@ATL 04/21/2018 07:10PM ET,NYM,21.9
,,,,,,,,,,,SP,Stephen Strasburg (10576553),Stephen Strasburg,10576553,P,10500,WAS@LAD 04/21/2018 09:10PM ET,WAS,21.26
,,,,,,,,,,,SP,Cole Hamels (10577073),Cole Hamels,10577073,P,10300,SEA@TEX 04/21/2018 08:05PM ET,TEX,16.11
,,,,,,,,,,,SP,Gio Gonzalez (10577074),Gio Gonzalez,10577074,P,10100,WAS@LAD 04/21/2018 09:10PM ET,WAS,18.74
,,,,,,,,,,,SP,David Price (10577075),David Price,10577075,P,10100,BOS@OAK 04/21/2018 09:05PM ET,BOS,15.95
,,,,,,,,,,,SP,James Paxton (10576554),James Paxton,10576554,P,9900,SEA@TEX 04/21/2018 08:05PM ET,SEA,17.34
,,,,,,,,,,,SP,Tanner Roark (10577076),Tanner Roark,10577076,P,9900,WAS@LAD 04/21/2018 09:10PM ET,WAS,18.96
,,,,,,,,,,,SP,Patrick Corbin (10577077),Patrick Corbin,10577077,P,9800,SD@ARI 04/21/2018 08:10PM ET,ARI,32.78
,,,,,,,,,,,SP,Rich Hill (10577078),Rich Hill,10577078,P,9700,WAS@LAD 04/21/2018 09:10PM ET,LAD,11.78
,,,,,,,,,,,SP,Kenta Maeda (10577079),Kenta Maeda,10577079,P,9700,WAS@LAD 04/21/2018 09:10PM ET,LAD,15.16
,,,,,,,,,,,SP,Lance McCullers Jr. (10577080),Lance McCullers Jr.,10577080,P,9600,HOU@CWS 04/21/2018 07:10PM ET,HOU,19.81
,,,,,,,,,,,SP,Chase Anderson (10577081),Chase Anderson,10577081,P,9500,MIA@MIL 04/21/2018 07:10PM ET,MIL,14.49
,,,,,,,,,,,SP,Kyle Hendricks (10577082),Kyle Hendricks,10577082,P,9400,CHC@COL 04/21/2018 08:10PM ET,CHC,13.08
,,,,,,,,,,,SP,Dallas Keuchel (10576555),Dallas Keuchel,10576555,P,9200,HOU@CWS 04/21/2018 07:10PM ET,HOU,13.46
,,,,,,,,,,,SP,Jon Lester (10577084),Jon Lester,10577084,P,9200,CHC@COL 04/21/2018 08:10PM ET,CHC,11.67
