QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Le'Veon Bell (9758244),Le'Veon Bell,9758244,RB,9800,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,WR,Antonio Brown (9758252),Antonio Brown,9758252,WR,9500,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Ezekiel Elliott (9758621),Ezekiel Elliott,9758621,RB,8800,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,Todd Gurley II (9758559),Todd Gurley II,9758559,RB,8700,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Leonard Fournette (9758305),Leonard Fournette,9758305,RB,8400,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,RB,LeSean McCoy (9758011),LeSean McCoy,9758011,RB,8300,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Julio Jones (9758598),Julio Jones,9758598,WR,8000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,A.J. Green (9758409),A.J. Green,9758409,WR,7700,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,DeAndre Hopkins (9758539),DeAndre Hopkins,9758539,WR,7500,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,RB,Mark Ingram (9758045),Mark Ingram,9758045,RB,7400,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Dak Prescott (9758619),Dak Prescott,9758619,QB,7300,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,Melvin Gordon (9758274),Melvin Gordon,9758274,RB,7200,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Mike Evans (9758379),Mike Evans,9758379,WR,7100,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,WR,Michael Thomas (9758055),Michael Thomas,9758055,WR,7000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Drew Brees (9758042),Drew Brees,9758042,QB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,RB,Alvin Kamara (9758047),Alvin Kamara,9758047,RB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Dez Bryant (9758631),Dez Bryant,9758631,WR,6900,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Matthew Stafford (9758179),Matthew Stafford,9758179,QB,6800,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,WR,Golden Tate (9758191),Golden Tate,9758191,WR,6800,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,WR,Adam Thielen (9758478),Adam Thielen,9758478,WR,6700,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,QB,Jared Goff (9758556),Jared Goff,9758556,QB,6700,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,QB,Ben Roethlisberger (9758241),Ben Roethlisberger,9758241,QB,6600,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Jerick McKinnon (9758470),Jerick McKinnon,9758470,RB,6600,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Stefon Diggs (9758480),Stefon Diggs,9758480,WR,6500,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,QB,Matt Ryan (9758588),Matt Ryan,9758588,QB,6500,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,RB,Aaron Jones (9758112),Aaron Jones,9758112,RB,6400,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,QB,Tyrod Taylor (9758008),Tyrod Taylor,9758008,QB,6300,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,RB,Carlos Hyde (9758686),Carlos Hyde,9758686,RB,6300,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Marvin Jones Jr. (9758193),Marvin Jones Jr.,9758193,WR,6200,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,TE,Evan Engram (9758675),Evan Engram,9758675,TE,6200,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,RB,Jordan Howard (9758077),Jordan Howard,9758077,RB,6100,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,QB,Josh McCown (9758336),Josh McCown,9758336,QB,6100,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,RB,Devonta Freeman (9758590),Devonta Freeman,9758590,RB,6000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,T.Y. Hilton (9758222),T.Y. Hilton,9758222,WR,5900,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,QB,Kirk Cousins (9758499),Kirk Cousins,9758499,QB,5900,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,QB,Marcus Mariota (9758434),Marcus Mariota,9758434,QB,5800,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,RB,Chris Thompson (9758501),Chris Thompson,9758501,RB,5700,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,WR,JuJu Smith-Schuster (9758254),JuJu Smith-Schuster,9758254,WR,5600,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,QB,Sam Bradford (9758466),Sam Bradford,9758466,QB,5600,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,RB,Alfred Morris (9758625),Alfred Morris,9758625,RB,5500,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Sterling Shepard (9758665),Sterling Shepard,9758665,WR,5500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,WR,Keenan Allen (9758284),Keenan Allen,9758284,WR,5400,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,QB,Jameis Winston (9758368),Jameis Winston,9758368,QB,5400,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,WR,Ted Ginn Jr. (9758057),Ted Ginn Jr.,9758057,WR,5300,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Jordy Nelson (9758122),Jordy Nelson,9758122,WR,5300,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,QB,Andy Dalton (9758398),Andy Dalton,9758398,QB,5300,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,QB,Jacoby Brissett (9758210),Jacoby Brissett,9758210,QB,5200,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,TE,Jack Doyle (9758232),Jack Doyle,9758232,TE,5200,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Robby Anderson (9758349),Robby Anderson,9758349,WR,5200,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,RB,Lamar Miller (9758529),Lamar Miller,9758529,RB,5200,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,WR,Kelvin Benjamin (9758019),Kelvin Benjamin,9758019,WR,5100,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,QB,Teddy Bridgewater (9758468),Teddy Bridgewater,9758468,QB,5100,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,TE,Jordan Reed (9758517),Jordan Reed,9758517,TE,5100,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,WR,Mohamed Sanu (9758600),Mohamed Sanu,9758600,WR,5100,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,RB,Darren McFadden (9758623),Darren McFadden,9758623,RB,5100,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Eli Manning (9758654),Eli Manning,9758654,QB,5100,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,QB,Brett Hundley (9758110),Brett Hundley,9758110,QB,5000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,WR,Davante Adams (9758124),Davante Adams,9758124,WR,5000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,RB,DeMarco Murray (9758437),DeMarco Murray,9758437,RB,5000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,RB,Derrick Henry (9758439),Derrick Henry,9758439,RB,5000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Delanie Walker (9758457),Delanie Walker,9758457,TE,5000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Robert Woods (9758569),Robert Woods,9758569,WR,5000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,QB,Jimmy Garoppolo (9758684),Jimmy Garoppolo,9758684,QB,5000,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,QB,Philip Rivers (9758271),Philip Rivers,9758271,QB,4900,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,QB,Ryan Fitzpatrick (9758369),Ryan Fitzpatrick,9758369,QB,4900,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,WR,DeSean Jackson (9758381),DeSean Jackson,9758381,WR,4900,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Joe Mixon (9758401),Joe Mixon,9758401,RB,4900,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Corey Coleman (9758152),Corey Coleman,9758152,WR,4800,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,QB,Blake Bortles (9758303),Blake Bortles,9758303,QB,4800,LAC@JAX 11/12/2017 01:00PM ET,JAX,
