PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF/PF,Kevin Durant (10001557),Kevin Durant,10001557,SF,11500,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,PG,Russell Westbrook (10001561),Russell Westbrook,10001561,PG,11200,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,SF/PF,Giannis Antetokounmpo (10001564),Giannis Antetokounmpo,10001564,SF,11100,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,PF/C,DeMarcus Cousins (10001568),DeMarcus Cousins,10001568,PF,10800,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,PF/C,Anthony Davis (10001572),Anthony Davis,10001572,PF,10400,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,PG/SG,Victor Oladipo (10001576),Victor Oladipo,10001576,PG,9600,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,C,Karl-Anthony Towns (10001580),Karl-Anthony Towns,10001580,C,9500,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PG/SG,Stephen Curry (10001582),Stephen Curry,10001582,PG,9300,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SG,Jimmy Butler (10001586),Jimmy Butler,10001586,SG,8900,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PG,Kyrie Irving (10001589),Kyrie Irving,10001589,PG,8800,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PG,John Wall (10001592),John Wall,10001592,PG,8700,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,C,Nikola Vucevic (10001595),Nikola Vucevic,10001595,C,8600,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PG,Damian Lillard (10001597),Damian Lillard,10001597,PG,8400,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,C,Marc Gasol (10001600),Marc Gasol,10001600,C,8200,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SG/SF,Devin Booker (10001602),Devin Booker,10001602,SG,7900,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SG,Tyreke Evans (10001607),Tyreke Evans,10001607,PG,7900,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SG,Bradley Beal (10001611),Bradley Beal,10001611,SG,7800,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PG/SG,CJ McCollum (10001614),CJ McCollum,10001614,PG,7700,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PF/C,LaMarcus Aldridge (10001620),LaMarcus Aldridge,10001620,PF,7600,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SG/SF,Khris Middleton (10001624),Khris Middleton,10001624,SG,7600,MIL@CHA 12/23/2017 07:00PM ET,MIL,
