"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Julio Jones",9300,"Phi@Atl 07:10PM ET",21.293
"WR","Odell Beckham Jr.",9200,"NYG@Dal 08:30PM ET",26.417
"WR","Demaryius Thomas",9100,"Bal@Den 04:25PM ET",22.812
"WR","Dez Bryant",8700,"NYG@Dal 08:30PM ET",19.033
"QB","Aaron Rodgers",8600,"GB@Chi 01:00PM ET",23.428
"WR","Calvin Johnson",8500,"Det@SD 04:05PM ET",18.229
"WR","Jordy Nelson",8400,"GB@Chi 01:00PM ET",20.289
"QB","Andrew Luck",8300,"Ind@Buf 01:00PM ET",23.743
"WR","Alshon Jeffery",8300,"GB@Chi 01:00PM ET",16.913
"QB","Peyton Manning",8200,"Bal@Den 04:25PM ET",21.301
"QB","Drew Brees",8000,"NO@Ari 04:05PM ET",21.749
"WR","Randall Cobb",8000,"GB@Chi 01:00PM ET",19.594
"RB","Jamaal Charles",7900,"KC@Hou 01:00PM ET",17.093
"WR","Emmanuel Sanders",7900,"Bal@Den 04:25PM ET",19.671
"RB","Matt Forte",7800,"GB@Chi 01:00PM ET",22.538
"QB","Russell Wilson",7800,"Sea@StL 01:00PM ET",21.910
"WR","A.J. Green",7800,"Cin@Oak 04:25PM ET",17.100
"RB","Adrian Peterson",7700,"Min@SF 10:20PM ET",11.300
"WR","Mike Evans",7700,"Ten@TB 04:25PM ET",16.940
"RB","Arian Foster",7600,"KC@Hou 01:00PM ET",22.808
"QB","Cam Newton",7600,"Car@Jax 01:00PM ET",19.246
"WR","T.Y. Hilton",7600,"Ind@Buf 01:00PM ET",17.372
"QB","Matt Ryan",7500,"Phi@Atl 07:10PM ET",19.891
"RB","Eddie Lacy",7500,"GB@Chi 01:00PM ET",17.167
"QB","Eli Manning",7400,"NYG@Dal 08:30PM ET",18.906
"QB","Ryan Tannehill",7400,"Mia@Was 01:00PM ET",18.719
"WR","DeAndre Hopkins",7400,"KC@Hou 01:00PM ET",15.250
"QB","Tony Romo",7300,"NYG@Dal 08:30PM ET",18.656
"RB","Marshawn Lynch",7300,"Sea@StL 01:00PM ET",19.839
"WR","Kelvin Benjamin",7300,"Car@Jax 01:00PM ET",14.978
"RB","LeSean McCoy",7200,"Ind@Buf 01:00PM ET",13.400
"WR","Jordan Matthews",7200,"Phi@Atl 07:10PM ET",13.200
"QB","Philip Rivers",7100,"Det@SD 04:05PM ET",18.603
"WR","Keenan Allen",7100,"Det@SD 04:05PM ET",13.307
"WR","Brandin Cooks",7100,"NO@Ari 04:05PM ET",13.930
"RB","Jeremy Hill",7100,"Cin@Oak 04:25PM ET",14.035
"QB","Matthew Stafford",7000,"Det@SD 04:05PM ET",17.435
"QB","Colin Kaepernick",7000,"Min@SF 10:20PM ET",16.979
"WR","Sammy Watkins",7000,"Ind@Buf 01:00PM ET",13.188
"RB","C.J. Anderson",7000,"Bal@Den 04:25PM ET",14.638
"QB","Sam Bradford",6900,"Phi@Atl 07:10PM ET",0
"WR","Jeremy Maclin",6900,"KC@Hou 01:00PM ET",18.050
"QB","Jay Cutler",6800,"GB@Chi 01:00PM ET",19.439
"WR","DeSean Jackson",6800,"Mia@Was 01:00PM ET",15.173
"QB","Joe Flacco",6700,"Bal@Den 04:25PM ET",18.571
"RB","DeMarco Murray",6700,"Phi@Atl 07:10PM ET",24.033
"WR","Amari Cooper",6700,"Cin@Oak 04:25PM ET",0
"WR","Brandon Marshall",6600,"Cle@NYJ 01:00PM ET",14.315
"QB","Teddy Bridgewater",6600,"Min@SF 10:20PM ET",15.435
"WR","Roddy White",6500,"Phi@Atl 07:10PM ET",15.650
"QB","Carson Palmer",6500,"NO@Ari 04:05PM ET",18.923
"WR","Steve Smith Sr.",6400,"Bal@Den 04:25PM ET",14.667
"QB","Robert Griffin III",6400,"Mia@Was 01:00PM ET",11.151
"RB","Andre Ellington",6400,"NO@Ari 04:05PM ET",15.208
"WR","Golden Tate",6300,"Det@SD 04:05PM ET",17.353
"QB","Geno Smith",6300,"Cle@NYJ 01:00PM ET",12.343
"WR","Anquan Boldin",6200,"Min@SF 10:20PM ET",13.913
"QB","Alex Smith",6200,"KC@Hou 01:00PM ET",15.333
"RB","Justin Forsett",6200,"Bal@Den 04:25PM ET",16.233
"WR","Andre Johnson",6100,"Ind@Buf 01:00PM ET",13.107
"QB","Andy Dalton",6100,"Cin@Oak 04:25PM ET",15.425
"QB","Derek Carr",6100,"Cin@Oak 04:25PM ET",13.188
"WR","Marques Colston",6000,"NO@Ari 04:05PM ET",11.513
"WR","Vincent Jackson",6000,"Ten@TB 04:25PM ET",11.888
"WR","Eric Decker",6000,"Cle@NYJ 01:00PM ET",13.747
"WR","Mike Wallace",6000,"Min@SF 10:20PM ET",13.550
"QB","Marcus Mariota",6000,"Ten@TB 04:25PM ET",0
"QB","Jameis Winston",6000,"Ten@TB 04:25PM ET",0
"WR","Torrey Smith",5900,"Min@SF 10:20PM ET",11.761
"RB","Joseph Randle",5900,"NYG@Dal 08:30PM ET",3.228
"QB","Blake Bortles",5900,"Car@Jax 01:00PM ET",13.516
"QB","Matt Cassel",5800,"Ind@Buf 01:00PM ET",8.933
"RB","Jonathan Stewart",5800,"Car@Jax 01:00PM ET",12.227
"WR","Michael Floyd",5800,"NO@Ari 04:05PM ET",10.300
"RB","Latavius Murray",5700,"Cin@Oak 04:25PM ET",5.913
"WR","Nelson Agholor",5700,"Phi@Atl 07:10PM ET",0
"QB","Michael Vick",5600,"Cle@NYJ 01:00PM ET",4.746
"TE","Jimmy Graham",5600,"Sea@StL 01:00PM ET",14.681
"RB","Mark Ingram",5600,"NO@Ari 04:05PM ET",15.762
"WR","Jarvis Landry",5600,"Mia@Was 01:00PM ET",11.588
"QB","Ryan Fitzpatrick",5500,"Cle@NYJ 01:00PM ET",15.977
"WR","Larry Fitzgerald",5500,"NO@Ari 04:05PM ET",10.967
"RB","Alfred Morris",5500,"Mia@Was 01:00PM ET",11.931
"RB","Lamar Miller",5500,"Mia@Was 01:00PM ET",14.525
"RB","Melvin Gordon",5500,"Det@SD 04:05PM ET",0
"RB","T.J. Yeldon",5500,"Car@Jax 01:00PM ET",0
"RB","Frank Gore",5400,"Ind@Buf 01:00PM ET",10.794
"QB","Mark Sanchez",5400,"Phi@Atl 07:10PM ET",18.380
"WR","Allen Robinson",5400,"Car@Jax 01:00PM ET",11.680
"TE","Greg Olsen",5300,"Car@Jax 01:00PM ET",13.683
"WR","Malcom Floyd",5300,"Det@SD 04:05PM ET",11.038
"QB","Nick Foles",5300,"Sea@StL 01:00PM ET",18.040
"RB","Carlos Hyde",5300,"Min@SF 10:20PM ET",5.364
"QB","Josh McCown",5200,"Cle@NYJ 01:00PM ET",13.722
"WR","Pierre Garcon",5200,"Mia@Was 01:00PM ET",10.263
"RB","Joique Bell",5200,"Det@SD 04:05PM ET",13.231
"WR","Victor Cruz",5100,"NYG@Dal 08:30PM ET",11.450
"QB","Brian Hoyer",5100,"KC@Hou 01:00PM ET",12.853
"RB","Rashad Jennings",5100,"NYG@Dal 08:30PM ET",12.955
"QB","Ryan Mallett",5100,"KC@Hou 01:00PM ET",7.267
"WR","Kendall Wright",5100,"Ten@TB 04:25PM ET",12.279
"QB","EJ Manuel",5100,"Ind@Buf 01:00PM ET",12.344
"WR","Rueben Randle",5100,"NYG@Dal 08:30PM ET",11.988
"QB","Matt Hasselbeck",5000,"Ind@Buf 01:00PM ET",4.485
"QB","Charlie Whitehurst",5000,"Ten@TB 04:25PM ET",12.720
"QB","Tarvaris Jackson",5000,"Sea@StL 01:00PM ET",0.000
"QB","Derek Anderson",5000,"Car@Jax 01:00PM ET",7.206
"QB","Dan Orlovsky",5000,"Det@SD 04:05PM ET",0.000
"QB","Kellen Clemens",5000,"Det@SD 04:05PM ET",0.200
"QB","Shaun Hill",5000,"Min@SF 10:20PM ET",10.920
"QB","Matt Moore",5000,"Mia@Was 01:00PM ET",0.320
"QB","Drew Stanton",5000,"NO@Ari 04:05PM ET",11.416
"QB","Matt Schaub",5000,"Bal@Den 04:25PM ET",-0.065
"QB","Luke McCown",5000,"NO@Ari 04:05PM ET",0.000
"QB","Chad Henne",5000,"Car@Jax 01:00PM ET",10.727
"QB","Josh Johnson",5000,"Cin@Oak 04:25PM ET",0
"QB","Mike Kafka",5000,"Min@SF 10:20PM ET",0
"QB","R.J. Archer",5000,"Sea@StL 01:00PM ET",0
"QB","Joe Webb",5000,"Car@Jax 01:00PM ET",0.289
"QB","Chase Daniel",5000,"KC@Hou 01:00PM ET",2.593
"QB","Colt McCoy",5000,"Mia@Was 01:00PM ET",13.976
"QB","Tim Tebow",5000,"Phi@Atl 07:10PM ET",0
"QB","T.J. Yates",5000,"Phi@Atl 07:10PM ET",0.780
"QB","Christian Ponder",5000,"Cin@Oak 04:25PM ET",7.240
"QB","Scott Tolzien",5000,"GB@Chi 01:00PM ET",0
"QB","Ricky Stanzi",5000,"NYG@Dal 08:30PM ET",0
"QB","McLeod Bethel-Thompson",5000,"Mia@Was 01:00PM ET",0
"QB","Josh Freeman",5000,"Mia@Was 01:00PM ET",0
"QB","Thaddeus Lewis",5000,"Cle@NYJ 01:00PM ET",0
"QB","Case Keenum",5000,"Sea@StL 01:00PM ET",12.950
"QB","Jimmy Clausen",5000,"GB@Chi 01:00PM ET",4.205
"QB","Kellen Moore",5000,"Det@SD 04:05PM ET",0
"QB","Brandon Weeden",5000,"NYG@Dal 08:30PM ET",3.670
"QB","Tyrod Taylor",5000,"Ind@Buf 01:00PM ET",-0.300
"QB","Chandler Harnish",5000,"NO@Ari 04:05PM ET",0
"QB","Austin Davis",5000,"Sea@StL 01:00PM ET",12.564
"QB","Kirk Cousins",5000,"Mia@Was 01:00PM ET",17.567
"QB","Matt Simms",5000,"Ind@Buf 01:00PM ET",1.760
"QB","Blaine Gabbert",5000,"Min@SF 10:20PM ET",6.020
"QB","Sean Renfree",5000,"Phi@Atl 07:10PM ET",0
"QB","Mike Glennon",5000,"Ten@TB 04:25PM ET",16.930
"QB","B.J. Daniels",5000,"Sea@StL 01:00PM ET",0
"QB","Ryan Nassib",5000,"NYG@Dal 08:30PM ET",0.525
"QB","Zac Dysert",5000,"Bal@Den 04:25PM ET",0
"QB","Matt McGloin",5000,"Cin@Oak 04:25PM ET",7.460
"QB","Matt Barkley",5000,"Phi@Atl 07:10PM ET",0.000
"QB","Zach Mettenberger",5000,"Ten@TB 04:25PM ET",11.840
"QB","Aaron Murray",5000,"KC@Hou 01:00PM ET",0
"QB","Brock Osweiler",5000,"Bal@Den 04:25PM ET",1.520
"QB","Bryn Renner",5000,"Bal@Den 04:25PM ET",0
"QB","Seth Lobato",5000,"Ten@TB 04:25PM ET",0
"QB","Bryce Petty",5000,"Cle@NYJ 01:00PM ET",0
"QB","Jeff Tuel",5000,"Car@Jax 01:00PM ET",0
"QB","Garrett Gilbert",5000,"Det@SD 04:05PM ET",0
"QB","Logan Thomas",5000,"NO@Ari 04:05PM ET",2.413
"QB","AJ McCarron",5000,"Cin@Oak 04:25PM ET",0
"QB","Tom Savage",5000,"KC@Hou 01:00PM ET",1.240
"QB","Brad Sorensen",5000,"Det@SD 04:05PM ET",0
"QB","David Fales",5000,"GB@Chi 01:00PM ET",0
"QB","Stephen Morris",5000,"Car@Jax 01:00PM ET",0
"QB","Jake Heaps",5000,"Cle@NYJ 01:00PM ET",0
"QB","Garrett Grayson",5000,"NO@Ari 04:05PM ET",0
"QB","Chase Rettig",5000,"Det@SD 04:05PM ET",0
"QB","Tyler Bray",5000,"KC@Hou 01:00PM ET",0
"QB","Connor Shaw",5000,"Cle@NYJ 01:00PM ET",5.980
"QB","Phillip Sims",5000,"NO@Ari 04:05PM ET",0
"QB","Jameill Showers",5000,"NYG@Dal 08:30PM ET",0
"QB","Trevor Siemian",5000,"Bal@Den 04:25PM ET",0
"QB","Shane Carden",5000,"GB@Chi 01:00PM ET",0
"QB","Hutson Mason",5000,"Mia@Was 01:00PM ET",0
"QB","Dylan Thompson",5000,"Min@SF 10:20PM ET",0
"QB","Bryan Bennett",5000,"Ind@Buf 01:00PM ET",0
"QB","Anthony Boone",5000,"Det@SD 04:05PM ET",0
"QB","Cody Fajardo",5000,"Cin@Oak 04:25PM ET",0
"QB","Sean Mannion",5000,"Sea@StL 01:00PM ET",0
"QB","Jerry Lovelocke",5000,"Bal@Den 04:25PM ET",0
"QB","Brett Hundley",5000,"GB@Chi 01:00PM ET",0
"RB","Tre Mason",5000,"Sea@StL 01:00PM ET",11.858
"QB","Cole Stoudt",5000,"Det@SD 04:05PM ET",0
"QB","Johnny Manziel",5000,"Cle@NYJ 01:00PM ET",2.780
"QB","Taylor Heinicke",5000,"Min@SF 10:20PM ET",0
"QB","Alex Tanney",5000,"Ten@TB 04:25PM ET",0
"QB","Matt Blanchard",5000,"GB@Chi 01:00PM ET",0
